"","crash_number","date_time","year","day_of_week","object_1","object_2","street_name","location","Longitude","Latitude","weather","hospitals","gender","month","month_name","day","Weekday","dow","Week","Season"
"44",24107,2010-04-22,2010,"Thursday","Auto","Parked Vehicle","White St"," White St &  Cambridge, MA",-71.0967,42.363207,"rain","1","Male",4,"Apr",22,"Thursday",5,16,"Spring"
"45",24119,2010-04-28,2010,"Wednesday","Auto","Parked Vehicle","Broadway"," Broadway &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Female",4,"Apr",28,"Wednesday",4,17,"Spring"
"46",24163,2010-05-01,2010,"Saturday","Auto","Parked Vehicle","IRVING ST"," IRVING ST &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Female",5,"May",1,"Saturday",7,18,"Spring"
"47",24144,2010-05-03,2010,"Monday","Auto","Parked Vehicle","Brattle St"," Brattle St &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Male",5,"May",3,"Monday",2,18,"Spring"
"48",24161,2010-05-06,2010,"Thursday","Auto","Pedestrian","QUINCY ST"," QUINCY ST & OXFORD AVE Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Male",5,"May",6,"Thursday",5,18,"Spring"
"49",26769,2011-11-09,2011,"Wednesday","Auto","Bicycle","Massachusetts Ave"," Massachusetts Ave &  Cambridge, MA",-71.0967,42.363207,"sleet,hail,freezing rain or drizzle","1","Female",11,"Nov",9,"Wednesday",4,45,"Fall"
"50",24185,2010-05-10,2010,"Monday","Auto","Auto","Brattle St"," Brattle St &  Cambridge, MA",-71.0967,42.363207,"sleet,hail,freezing rain or drizzle","1","Female",5,"May",10,"Monday",2,19,"Spring"
"51",24219,2010-05-19,2010,"Wednesday","Auto","Auto","MAGAZINE ST"," MAGAZINE ST &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Male",5,"May",19,"Wednesday",4,20,"Spring"
"52",1500000609,2015-04-19,2015,"Sunday","PASSENGER CAR","","COLUMBIA ST","COLUMBIA ST",-71.0967,42.363207,"SUNNY","1","Female",4,"Apr",19,"Sunday",1,16,"Spring"
"53",24294,2010-06-04,2010,"Friday","Auto","Parked Vehicle","Ballord Pl"," Ballord Pl &  Cambridge, MA",-71.0967,42.363207,"rain","1","Female",6,"Jun",4,"Friday",6,23,"Summer"
"54",24316,2010-06-06,2010,"Sunday","Auto","Parked Vehicle","","  &  Cambridge, MA",-71.0967,42.363207,"cloudy","1","Male",6,"Jun",6,"Sunday",1,23,"Summer"
"55",24323,2010-06-08,2010,"Tuesday","Auto","Parked Vehicle","Windsor St"," Windsor St &  Cambridge, MA",-71.0967,42.363207,"snow","1","Male",6,"Jun",8,"Tuesday",3,23,"Summer"
"56",24326,2010-06-10,2010,"Thursday","Taxi","Bicycle","Cambridgeside Pl"," Cambridgeside Pl &  Cambridge, MA",-71.0967,42.363207,"rain","1","Male",6,"Jun",10,"Thursday",5,23,"Summer"
"57",24339,2010-06-13,2010,"Sunday","Auto","Parked Vehicle","PEARL ST"," PEARL ST &  Cambridge, MA",-71.0967,42.363207,"rain","1","Female",6,"Jun",13,"Sunday",1,24,"Summer"
"58",25502,2011-02-05,2011,"Saturday","Auto","Parked Vehicle","Charles St"," Charles St &  Cambridge, MA",-71.0967,42.363207,"snow","1","Male",2,"Feb",5,"Saturday",7,6,"Winter"
"59",26770,2011-11-09,2011,"Wednesday","Truck","Auto","Cedar St"," Cedar St & Rindge Ave Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Male",11,"Nov",9,"Wednesday",4,45,"Fall"
"60",24397,2010-06-29,2010,"Tuesday","Auto","Parked Vehicle","Bishop Allen Dr"," Bishop Allen Dr &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Male",6,"Jun",29,"Tuesday",3,26,"Summer"
"61",1500000720,2015-05-14,2015,"Thursday","PASSENGER CAR","","GORE ST","GORE ST",-71.0967,42.363207,"clear","1","Male",5,"May",14,"Thursday",5,20,"Spring"
"62",24448,2010-07-08,2010,"","Auto","Parked Vehicle","Berkshire St"," Berkshire St &  Cambridge, MA",-71.0967,42.363207,"snow","1","Female",7,"Jul",8,"Thursday",5,27,"Summer"
"63",24466,2010-07-14,2010,"","Auto","Auto","Terminal Rd"," Terminal Rd &  Cambridge, MA",-71.0967,42.363207,"cloudy","1","Male",7,"Jul",14,"Wednesday",4,28,"Summer"
"64",24491,2010-07-17,2010,"Saturday","Auto","Auto","PROSPECT ST"," PROSPECT ST &  Cambridge, MA",-71.0967,42.363207,"snow","1","Male",7,"Jul",17,"Saturday",7,29,"Summer"
"65",24514,2010-07-22,2010,"Thursday","Auto","Parked Vehicle","Hampshire St"," Hampshire St &  Cambridge, MA",-71.0967,42.363207,"cloudy","1","Female",7,"Jul",22,"Thursday",5,29,"Summer"
"66",30412,2012-02-17,2012,"Friday","Auto","Pedestrian","SHERMAN ST"," SHERMAN ST &  Cambridge, MA",-71.0967,42.363207,"sleet,hail,freezing rain or drizzle","1","Female",2,"Feb",17,"Friday",6,7,"Winter"
"67",30293,2012-01-20,2012,"Friday","Auto","Parked Vehicle","Porter Sq"," Porter Sq &  Cambridge, MA",-71.0967,42.363207,"cloudy","1","Female",1,"Jan",20,"Friday",6,3,"Winter"
"68",24947,2010-08-01,2010,"Sunday","Auto","Parked Vehicle","GOLD STAR RD"," GOLD STAR RD &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Female",8,"Aug",1,"Sunday",1,31,"Summer"
"69",24603,2010-08-10,2010,"Tuesday","Auto","Auto","HARVARD SQ"," HARVARD SQ &  Cambridge, MA",-71.0967,42.363207,"cloudy","1","Female",8,"Aug",10,"Tuesday",3,32,"Summer"
"70",24605,2010-08-11,2010,"Wednesday","Auto","Auto","Concord Ave"," Concord Ave & Concord Ave Cambridge, MA",-71.0967,42.363207,"clear","1","Female",8,"Aug",11,"Wednesday",4,32,"Summer"
"71",30677,2012-04-29,2012,"Sunday","Auto","Bicycle","Cambridge St"," Cambridge St & PARKER ST Cambridge, MA",-71.0967,42.363207,"snow","6","Female",4,"Apr",29,"Sunday",1,18,"Spring"
"72",24615,2010-08-14,2010,"Saturday","Auto","Auto","FRESH POND PKY"," FRESH POND PKY &  Cambridge, MA",-71.0967,42.363207,"cloudy","1","Female",8,"Aug",14,"Saturday",7,33,"Summer"
"73",31573,2012-11-16,2012,"Saturday","Auto","Parked Vehicle","Porter Cir"," Porter Cir &  Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Male",11,"Nov",16,"Friday",6,46,"Fall"
"74",24652,2010-08-24,2010,"Tuesday","Truck","Auto","Cross St"," Cross St &  Cambridge, MA",-71.0967,42.363207,"clear","1","Female",8,"Aug",24,"Tuesday",3,34,"Summer"
"75",24666,2010-08-25,2010,"Wednesday","Auto","Auto","KIRKLAND ST"," KIRKLAND ST &  Cambridge, MA",-71.057083,42.361145,"SUNNY","1","Male",8,"Aug",25,"Wednesday",4,34,"Summer"
"76",24655,2010-08-25,2010,"Wednesday","Auto","Auto","MAIN ST"," MAIN ST & Windsor St Cambridge, MA",-71.0967,42.363207,"SUNNY","1","Female",8,"Aug",25,"Wednesday",4,34,"Summer"
"77",24657,2010-08-25,2010,"Wednesday","Auto","Auto","JFK St"," JFK St & MOUNT AUBURN ST Cambridge, MA",-71.120145,42.372566,"sleet,hail,freezing rain or drizzle","1","Female",8,"Aug",25,"Wednesday",4,34,"Summer"
"78",24658,2010-08-25,2010,"Wednesday","Taxi","Fixed Object","MEMORIAL DR","575 MEMORIAL DR Cambridge, MA",-71.105316,42.354228,"SUNNY","1","Male",8,"Aug",25,"Wednesday",4,34,"Summer"
"79",24659,2010-08-25,2010,"Wednesday","Auto","Bicycle","Cambridge St"," Cambridge St & HARDING ST Cambridge, MA",-71.090656,42.372409,"cloudy","6","Male",8,"Aug",25,"Wednesday",4,34,"Summer"
"80",24664,2010-08-25,2010,"Wednesday","Auto","Auto","Massachusetts Ave"," Massachusetts Ave & Bow St Cambridge, MA",-71.115587,42.372211,"SUNNY","1","Male",8,"Aug",25,"Wednesday",4,34,"Summer"
"81",24667,2010-08-25,2010,"Wednesday","Auto","Auto","Concord Ave"," Concord Ave & Bond St Cambridge, MA",-71.127504,42.380394,"SUNNY","1","Female",8,"Aug",25,"Wednesday",4,34,"Summer"
"82",24668,2010-08-25,2010,"Wednesday","Auto","Auto","FERNALD DR","12 FERNALD DR Cambridge, MA",-71.125479,42.383255,"rain","1","Male",8,"Aug",25,"Wednesday",4,34,"Summer"
"83",24710,2010-08-25,2010,"Monday","Auto","Parked Vehicle","FIFTH ST"," FIFTH ST & Gore St Cambridge, MA",-71.082973,42.372142,"sleet,hail,freezing rain or drizzle","1","Female",8,"Aug",25,"Wednesday",4,34,"Summer"
"84",24669,2010-08-26,2010,"Thursday","Auto","Parked Vehicle","MEMORIAL DR","808 MEMORIAL DR Cambridge, MA",-71.11517,42.360693,"cloudy","1","Female",8,"Aug",26,"Thursday",5,34,"Summer"
"85",24682,2010-08-27,2010,"Friday","Auto","Parked Vehicle","Rogers St"," Rogers St &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Female",8,"Aug",27,"Friday",6,35,"Summer"
"86",24681,2010-08-28,2010,"Saturday","Auto","Parked Vehicle","Bishop Allen Dr"," Bishop Allen Dr &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Male",8,"Aug",28,"Saturday",7,35,"Summer"
"87",24703,2010-09-01,2010,"Wednesday","Auto","Auto","Peabody St"," Peabody St &  Cambridge, MA",-71.1483002,42.3768005,"sleet,hail,freezing rain or drizzle","1","Male",9,"Sep",1,"Wednesday",4,35,"Fall"
"88",24712,2010-09-02,2010,"Thursday","Auto","Auto","Bond St"," Bond St &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Female",9,"Sep",2,"Thursday",5,35,"Fall"
"89",24759,2010-09-13,2010,"Monday","Auto","Auto","MOUNT AUBURN ST"," MOUNT AUBURN ST &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","5","Female",9,"Sep",13,"Monday",2,37,"Fall"
"90",24773,2010-09-16,2010,"Thursday","Auto","Parked Vehicle","Alewife Brook Pky"," Alewife Brook Pky &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Female",9,"Sep",16,"Thursday",5,37,"Fall"
