Crash Number,Date Time,Year,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Weather,Hospitals,Gender
30369,2/6/2012,2012,Monday,Auto,Auto,,GARDEN ST,LINNAEAN ST," GARDEN ST & LINNAEAN ST Cambridge, MA",42.382061,-71.126736,rain,7,2
30371,2/7/2012,2012,Tuesday,Auto,Fixed Object,,Brattle St,Sparks St," Brattle St & Sparks St Cambridge, MA",42.377845,-71.130167,rain,7,2
30372,2/7/2012,2012,Tuesday,Auto,Auto,,HURON AVE,FRESH POND PKY," HURON AVE & FRESH POND PKY Cambridge, MA",42.378688,-71.147303,cloudy,7,2
30373,2/7/2012,2012,Tuesday,Truck,Fixed Object,8,DAVENPORT ST,,"8 DAVENPORT ST Cambridge, MA",42.38959,-71.119571,cloudy,7,2
30374,2/7/2012,2012,Tuesday,Auto,Auto,,Brattle St,Sparks St," Brattle St & Sparks St Cambridge, MA",42.377845,-71.130167,cloudy,7,2
30375,2/8/2012,2012,Wednesday,Auto,Parked Vehicle,748,MEMORIAL DR,,"748 MEMORIAL DR Cambridge, MA",42.358068,-71.114273,cloudy,7,1
30377,2/8/2012,2012,Wednesday,Auto,Parked Vehicle,386,Columbia St,Harrington Ter,"386 Columbia St Cambridge, MA",42.372087,-71.094813,rain,7,1
30378,2/8/2012,2012,Wednesday,Auto,Auto,,Massachusetts Ave,ESSEX ST," Massachusetts Ave & ESSEX ST Cambridge, MA",42.36508,-71.10318,cloudy,7,2
30380,2/9/2012,2012,Thursday,Auto,Parked Vehicle,,Charles St,Third St," Charles St & Third St Cambridge, MA",42.367665,-71.08112,snow,7,1
30381,2/9/2012,2012,Thursday,Taxi,Auto,,Binney St,Sixth St," Binney St & Sixth St Cambridge, MA",42.366151,-71.086075,SUNNY,7,2
30382,2/9/2012,2012,Thursday,Auto,Bicycle,1975,Massachusetts Ave,,"1975 Massachusetts Ave Cambridge, MA",42.390201,-71.120625,cloudy,7,2
30383,2/9/2012,2012,Thursday,Taxi,Parked Vehicle,185,HANCOCK ST,,"185 HANCOCK ST Cambridge, MA",42.371208,-71.106284,"sleet,hail,freezing rain or drizzle",7,1
30405,2/9/2012,2012,,Auto,Auto,1,Rogers St,FIRST ST,"1 Rogers St Cambridge, MA",42.366357,-71.077245,cloudy,7,1
30385,2/10/2012,2012,Friday,Auto,Auto,186,Alewife Brook Pky,,"186 Alewife Brook Pky Cambridge, MA",42.391032,-71.14135,cloudy,7,1
